place_id,province_state,country_region,latitude,longitude
1,Hubei,China,30.9756,112.2707
2,Guangdong,China,23.3417,113.4244
3,Henan,China,33.882,113.614
4,Hunan,China,27.6104,111.7088
5,Jiangxi,China,27.614,115.7221
6,Anhui,China,31.8257,117.2264
7,Chongqing,China,30.0572,107.874
8,Jiangsu,China,32.9711,119.455
9,Shandong,China,36.3427,118.1498
10,Sichuan,China,30.6171,102.7103
11,Beijing,China,40.1824,116.4142
12,Shanghai,China,31.202,121.4491
13,Fujian,China,26.0789,117.9874
14,Heilongjiang,China,47.862,127.7615
15,Shaanxi,China,35.1917,108.8701
16,Guangxi,China,23.8298,108.7881
17,Hebei,China,37.8957,114.9042
18,Yunnan,China,24.974,101.487
19,Hainan,China,19.1959,109.7453
20,Liaoning,China,41.2956,122.6085
21,Shanxi,China,37.5777,112.2922
22,Tianjin,China,39.3054,117.323
23,Guizhou,China,26.8154,106.8748
24,Gansu,China,35.7518,104.2861
25,Jilin,China,43.6661,126.1923
26,Inner Mongolia,China,44.0935,113.9448
27,Ningxia,China,37.2692,106.1655
28,Xinjiang,China,41.1129,85.2401
29,"",Singapore,1.2833,103.8333
30,"",Thailand,15.87,100.9925
31,"",Japan,36.2048,138.2529
32,Hong Kong,China,22.3,114.2
33,"","Korea, South",35.9078,127.7669
34,Qinghai,China,35.7452,95.9956
35,"",Germany,51.1657,10.4515
36,"",Malaysia,4.2105,101.9758
37,"",Taiwan*,23.7,121
38,Macau,China,22.1667,113.55
39,"",Vietnam,14.0583,108.2772
40,"",France,46.2276,2.2137
41,New South Wales,Australia,-33.8688,151.2093
42,Victoria,Australia,-37.8136,144.9631
43,Queensland,Australia,-27.4698,153.0251
44,"",India,20.5937,78.9629
45,South Australia,Australia,-34.9285,138.6007
46,Ontario,Canada,51.2538,-85.3232
47,"",Italy,41.8719,12.5674
48,"",Philippines,12.8797,121.774
49,"",Russia,61.524,105.3188
50,"",United Kingdom,55.3781,-3.436
54,"",Belgium,50.8333,4.4699
55,"",Cambodia,11.55,104.9167
56,British Columbia,Canada,53.7267,-127.6476
58,"",Finland,61.9241,25.7482
59,Tibet,China,31.6927,88.0924
60,"",Spain,40.4637,-3.7492
61,"",Sri Lanka,7.8731,80.7718
62,"",Sweden,60.1282,18.6435
64,"",United Arab Emirates,23.4241,53.8478
68,Zhejiang,China,29.1832,120.0934
73,"",Diamond Princess,0,0
77,"",Egypt,26.8206,30.8025
79,"",Iran,32.4279,53.688
83,"",Israel,31.0461,34.8516
84,"",Lebanon,33.8547,35.8623
87,"",Iraq,33.2232,43.6793
89,"",Oman,21.5126,55.9233
90,"",Afghanistan,33.9391,67.71
91,"",Bahrain,26.0275,50.55
92,"",Kuwait,29.3117,47.4818
93,"",Austria,47.5162,14.5501
94,"",Algeria,28.0339,1.6596
95,"",Croatia,45.1,15.2
96,"",Switzerland,46.8182,8.2275
97,"",Pakistan,30.3753,69.3451
98,"",Brazil,-14.235,-51.9253
99,"",Georgia,42.3154,43.3569
100,"",Greece,39.0742,21.8243
101,"",North Macedonia,41.6086,21.7453
102,"",Norway,60.472,8.4689
103,"",Romania,45.9432,24.9668
104,"",Denmark,56.2639,9.5018
105,"",Estonia,58.5953,25.0136
106,"",Netherlands,52.1326,5.2913
107,"",San Marino,43.9424,12.4578
108,"",Azerbaijan,40.1431,47.5769
109,Quebec,Canada,52.9399,-73.5491
111,"",Iceland,64.9631,-19.0208
112,"",Lithuania,55.1694,23.8813
113,"",Mexico,23.6345,-102.5528
114,"",New Zealand,-40.9006,174.886
115,"",Nigeria,9.082,8.6753
117,Western Australia,Australia,-31.9505,115.8605
118,"",Ireland,53.1424,-7.6921
119,"",Luxembourg,49.8153,6.1296
120,"",Monaco,43.7333,7.4167
121,"",Qatar,25.3548,51.1839
125,"",Ecuador,-1.8312,-78.1834
126,"",Czechia,49.8175,15.473
127,"",Armenia,40.0691,45.0382
128,"",Dominican Republic,18.7357,-70.1627
131,"",Indonesia,-0.7893,113.9213
132,"",Portugal,39.3999,-8.2245
133,"",Andorra,42.5063,1.5218
134,Tasmania,Australia,-42.8821,147.3272
135,"",Latvia,56.8796,24.6032
136,"",Morocco,31.7917,-7.0926
137,"",Saudi Arabia,23.8859,45.0792
138,"",Senegal,14.4974,-14.4524
149,"",Argentina,-38.4161,-63.6167
150,"",Chile,-35.6751,-71.543
151,"",Jordan,31.24,36.51
157,"",Ukraine,48.3794,31.1656
158,Saint Barthelemy,France,17.9,-62.8333
159,"",Hungary,47.1625,19.5033
160,Northern Territory,Australia,-12.4634,130.8456
161,Faroe Islands,Denmark,61.8926,-6.9118
162,Gibraltar,United Kingdom,36.1408,-5.3536
163,"",Liechtenstein,47.14,9.55
164,"",Poland,51.9194,19.1451
165,"",Tunisia,33.8869,9.5375
167,"",West Bank and Gaza,31.9522,35.2332
168,"",Bosnia and Herzegovina,43.9159,17.6791
169,"",Slovenia,46.1512,14.9955
173,"",South Africa,-30.5595,22.9375
181,"",Nepal,28.1667,84.25
182,"",Belarus,53.7098,27.9534
187,"",Cameroon,3.848,11.5021
188,"",Colombia,4.5709,-74.2973
189,"",Costa Rica,9.7489,-83.7534
190,"",Peru,-9.19,-75.0152
191,"",Serbia,44.0165,21.0059
192,"",Slovakia,48.669,19.699
193,"",Togo,8.6195,0.8248
207,"",Bhutan,27.5142,90.4336
213,"",Malta,35.9375,14.3754
224,Alberta,Canada,53.9333,-116.5765
242,"",Bulgaria,42.7339,25.4858
243,"",Maldives,3.2028,73.2207
245,"",Bangladesh,23.685,90.3563
249,"",Moldova,47.4116,28.3699
250,"",Paraguay,-23.4425,-58.4438
274,"",Albania,41.1533,20.1683
275,"",Cyprus,35.1264,33.4299
276,St Martin,France,18.0708,-63.0501
278,"",Brunei,4.5353,114.7277
328,"",Burkina Faso,12.2383,-1.5616
329,Channel Islands,United Kingdom,49.3723,-2.3644
330,"",Holy See,41.9029,12.4534
331,"",Mongolia,46.8625,103.8467
332,"",Panama,8.538,-80.7821
392,"",Bolivia,-16.2902,-63.5887
394,"",Honduras,15.2,-86.2419
395,New Brunswick,Canada,46.5653,-66.4619
396,"",Congo (Kinshasa),-4.0383,21.7587
397,"",Cote d'Ivoire,7.54,-5.5471
398,"",Jamaica,18.1096,-77.2975
399,Reunion,France,-21.1151,55.5364
400,"",Turkey,38.9637,35.2433
454,"",Cuba,21.5218,-77.7812
455,"",Guyana,4.8604,-58.9302
456,Australian Capital Territory,Australia,-35.4735,149.0124
457,"",Kazakhstan,48.0196,66.9237
458,French Polynesia,France,-17.6797,149.4068
459,Cayman Islands,United Kingdom,19.3133,-81.2546
461,Manitoba,Canada,53.7609,-98.8139
462,Saskatchewan,Canada,52.9399,-106.4509
463,"",Ethiopia,9.145,40.4897
464,"",Sudan,12.8628,30.2176
465,"",Guinea,9.9456,-9.6966
466,Aruba,Netherlands,12.5211,-69.9683
467,"",Kenya,-0.0236,37.9062
468,Grand Princess,Canada,0,0
469,"",Antigua and Barbuda,17.0608,-61.7964
471,French Guiana,France,3.9339,-53.1258
472,"",Uruguay,-32.5228,-55.7658
473,"",Ghana,7.9465,-1.0232
476,"",Namibia,-22.9576,18.4904
477,"",Seychelles,-4.6796,55.492
478,"",Trinidad and Tobago,10.6918,-61.2225
479,"",Venezuela,6.4238,-66.5897
480,Curacao,Netherlands,12.1696,-68.99
481,"",Eswatini,-26.5225,31.4659
482,"",Gabon,-0.8037,11.6094
483,"",Guatemala,15.7835,-90.2308
485,"",Mauritania,21.0079,-10.9408
486,"",Rwanda,-1.9403,29.8739
487,"",Saint Lucia,13.9094,-60.9789
488,"",Saint Vincent and the Grenadines,12.9843,-61.2872
489,"",Suriname,3.9193,-56.0278
492,"",Kosovo,42.6026,20.903
493,Newfoundland and Labrador,Canada,53.1355,-57.6604
494,Prince Edward Island,Canada,46.5107,-63.4168
495,"",Central African Republic,6.6111,20.9394
496,"",Congo (Brazzaville),-0.228,15.8277
497,"",Equatorial Guinea,1.6508,10.2679
498,Mayotte,France,-12.8275,45.1662
499,"",Uzbekistan,41.3775,64.5853
501,Nova Scotia,Canada,44.682,-63.7443
502,Guadeloupe,France,16.265,-61.551
503,"",Benin,9.3077,2.3158
504,Greenland,Denmark,71.7069,-42.6043
505,"",Liberia,6.4281,-9.4295
509,"",Somalia,5.1521,46.1996
510,"",Tanzania,-6.369,34.8888
511,"",Bahamas,25.0259,-78.0359
515,"",Barbados,13.1939,-59.5432
516,"",Montenegro,42.7087,19.3744
517,"",Gambia,13.4432,-15.3101
518,"",Kyrgyzstan,41.2044,74.7661
519,"",Mauritius,-20.3484,57.5522
521,"",Zambia,-13.1339,27.8493
522,"",Djibouti,11.8251,42.5903
523,Montserrat,United Kingdom,16.7425,-62.1874
524,New Caledonia,France,-20.9043,165.618
525,Bermuda,United Kingdom,32.3078,-64.7505
526,"",Chad,15.4542,18.7322
527,"",El Salvador,13.7942,-88.8965
528,"",Fiji,-17.7134,178.065
529,"",Nicaragua,12.8654,-85.2072
530,"",Madagascar,-18.7669,46.8691
531,"",Haiti,18.9712,-72.2852
532,"",Angola,-11.2027,17.8739
533,"",Cabo Verde,16.5388,-23.0418
534,Sint Maarten,Netherlands,18.0425,-63.0548
535,"",Niger,17.6078,8.0817
536,"",Papua New Guinea,-6.315,143.9555
537,Isle of Man,United Kingdom,54.2361,-4.5481
538,"",Zimbabwe,-19.0154,29.1549
539,Northwest Territories,Canada,64.8255,-124.8457
542,"",Eritrea,15.1794,39.7823
543,"",Uganda,1.3733,32.2903
544,"",Dominica,15.415,-61.371
545,"",Grenada,12.1165,-61.679
546,"",Mozambique,-18.6657,35.5296
547,"",Syria,34.8021,38.9968
548,"",Timor-Leste,-8.8742,125.7275
553,"",US,40,-100
559,Martinique,France,14.6415,-61.0242
561,Diamond Princess,Canada,0,0
562,"",Belize,17.1899,-88.4976
563,"",Laos,19.8563,102.4955
564,"",Libya,26.3351,17.2283
566,"",Guinea-Bissau,11.8037,-15.1804
567,"",Mali,17.5707,-3.9962
568,"",Saint Kitts and Nevis,17.3578,-62.783
570,"",Canada,56.1304,-106.3468
571,Yukon,Canada,64.2823,-135
572,"",Burma,21.9162,95.956
573,Anguilla,United Kingdom,18.2206,-63.0686
574,British Virgin Islands,United Kingdom,18.4207,-64.64
575,Turks and Caicos Islands,United Kingdom,21.694,-71.7979
576,"",MS Zaandam,0,0
577,"",Botswana,-22.3285,24.6849
578,"",Burundi,-3.3731,29.9189
579,"",Sierra Leone,8.4606,-11.7799
580,"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385
581,"",Malawi,-13.2543,34.3015
582,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236
583,Saint Pierre and Miquelon,France,46.8852,-56.3159
584,"",South Sudan,6.877,31.307
585,"",Western Sahara,24.2155,-12.8858
586,"",Sao Tome and Principe,0.1864,6.6131
587,"",Yemen,15.5527,48.5164
588,"",Comoros,-11.6455,43.3333
589,"",Tajikistan,38.861,71.2761
590,"",Lesotho,-29.61,28.2336
